Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MRVL,MRVL,MRVL,MRVL,MRVL,MRVL
Date,,,,,,
2023-11-01,47.5306282043457,47.70000076293945,47.779998779296875,46.33000183105469,47.04999923706055,8445700
2023-11-02,48.72636795043945,48.900001525878906,49.400001525878906,48.439998626708984,49.099998474121094,9121500
2023-11-03,51.17763137817383,51.36000061035156,51.84000015258789,49.400001525878906,49.540000915527344,9771600
2023-11-06,51.05806350708008,51.2400016784668,52.029998779296875,50.810001373291016,51.63999938964844,6334500
2023-11-07,50.99827194213867,51.18000030517578,51.70000076293945,50.88999938964844,51.150001525878906,5323700
2023-11-08,51.396854400634766,51.58000183105469,51.779998779296875,51.09000015258789,51.349998474121094,8417900
2023-11-09,52.303627014160156,52.4900016784668,54.5,51.869998931884766,51.88999938964844,14767200
2023-11-10,54.42605972290039,54.619998931884766,54.939998626708984,52.529998779296875,53.31999969482422,11251900
2023-11-13,53.26021194458008,53.45000076293945,54.130001068115234,52.45000076293945,54.0,6348900
2023-11-14,56.82749938964844,57.029998779296875,57.43000030517578,55.33000183105469,55.4900016784668,12492700
2023-11-15,56.967002868652344,57.16999816894531,58.119998931884766,56.7400016784668,57.38999938964844,8896000
2023-11-16,54.46591567993164,54.65999984741211,55.220001220703125,53.470001220703125,55.209999084472656,17783800
2023-11-17,55.382652282714844,55.58000183105469,55.790000915527344,54.689998626708984,54.70000076293945,6730500
2023-11-20,56.179813385009766,56.380001068115234,56.599998474121094,55.439998626708984,55.5,7259800
2023-11-21,54.485843658447266,54.68000030517578,55.779998779296875,54.25,55.66999816894531,8927800
2023-11-22,55.30293273925781,55.5,56.34000015258789,55.08000183105469,55.08000183105469,7266900
2023-11-24,55.83104705810547,56.029998779296875,56.22999954223633,55.369998931884766,55.5,3121700
2023-11-27,55.70151138305664,55.900001525878906,56.40999984741211,55.349998474121094,55.61000061035156,5724400
2023-11-28,55.382652282714844,55.58000183105469,55.77000045776367,54.65999984741211,55.77000045776367,7650000
2023-11-29,55.90080261230469,56.099998474121094,57.2400016784668,55.900001525878906,56.4900016784668,7682500
2023-11-30,55.53211212158203,55.72999954223633,56.95000076293945,55.27000045776367,56.709999084472656,17162500
